label,sampler,L,V,sweeps,wall_seconds,tv,nll,ffbs_floor_tv,ffbs_floor_nll,n_chains
random L=16 V=8 s=1.0,thrml_gibbs,16,8,1,2.549836800006839,0.17483761730254627,25.636091232299805,0.01968088254565373,21.921669006347656,2000
random L=16 V=8 s=1.0,jax_gibbs,16,8,1,1.774767900002189,0.1811902193375863,25.923439025878906,0.01968088254565373,21.921669006347656,2000
random L=16 V=8 s=1.0,ffbs_at_jax_gibbs_time,16,8,1,1.774767900002189,0.5312247271940578,23.658863067626953,0.01968088254565373,21.921669006347656,2
random L=16 V=8 s=1.0,ffbs_at_thrml_gibbs_time,16,8,1,2.549836800006839,0.5563898474307886,23.78712272644043,0.01968088254565373,21.921669006347656,3
random L=16 V=8 s=1.0,thrml_gibbs,16,8,2,5.099673600013678,0.08435225042910316,23.194528579711914,0.01968088254565373,21.921669006347656,2000
random L=16 V=8 s=1.0,jax_gibbs,16,8,2,3.549535800004378,0.08161279851617291,23.301759719848633,0.01968088254565373,21.921669006347656,2000
random L=16 V=8 s=1.0,ffbs_at_jax_gibbs_time,16,8,2,3.549535800004378,0.37145157079794444,18.76837158203125,0.01968088254565373,21.921669006347656,4
random L=16 V=8 s=1.0,ffbs_at_thrml_gibbs_time,16,8,2,5.099673600013678,0.4092195845849346,21.176868438720703,0.01968088254565373,21.921669006347656,5
random L=16 V=8 s=1.0,thrml_gibbs,16,8,5,12.749184000034194,0.022923040023306387,21.9634952545166,0.01968088254565373,21.921669006347656,2000
random L=16 V=8 s=1.0,jax_gibbs,16,8,5,8.873839500010945,0.024661452223779638,22.073673248291016,0.01968088254565373,21.921669006347656,2000
random L=16 V=8 s=1.0,ffbs_at_jax_gibbs_time,16,8,5,8.873839500010945,0.2924434523738455,20.15195655822754,0.01968088254565373,21.921669006347656,9
random L=16 V=8 s=1.0,ffbs_at_thrml_gibbs_time,16,8,5,12.749184000034194,0.2813398564355269,23.8499755859375,0.01968088254565373,21.921669006347656,13
random L=16 V=8 s=1.0,thrml_gibbs,16,8,10,25.49836800006839,0.021813610652927307,21.9271297454834,0.01968088254565373,21.921669006347656,2000
random L=16 V=8 s=1.0,jax_gibbs,16,8,10,17.74767900002189,0.019231901952764016,21.882938385009766,0.01968088254565373,21.921669006347656,2000
random L=16 V=8 s=1.0,ffbs_at_jax_gibbs_time,16,8,10,17.74767900002189,0.21229664145115143,22.30918312072754,0.01968088254565373,21.921669006347656,18
random L=16 V=8 s=1.0,ffbs_at_thrml_gibbs_time,16,8,10,25.49836800006839,0.1585951481841039,20.796703338623047,0.01968088254565373,21.921669006347656,25
random L=16 V=8 s=1.0,thrml_gibbs,16,8,20,50.99673600013678,0.019512460507918147,21.950122833251953,0.01968088254565373,21.921669006347656,2000
random L=16 V=8 s=1.0,jax_gibbs,16,8,20,35.49535800004378,0.01925827282597311,21.799819946289062,0.01968088254565373,21.921669006347656,2000
random L=16 V=8 s=1.0,ffbs_at_jax_gibbs_time,16,8,20,35.49535800004378,0.15665704407729208,21.32908058166504,0.01968088254565373,21.921669006347656,35
random L=16 V=8 s=1.0,ffbs_at_thrml_gibbs_time,16,8,20,50.99673600013678,0.13612887679948474,21.36368179321289,0.01968088254565373,21.921669006347656,50
random L=16 V=8 s=1.0,thrml_gibbs,16,8,50,127.49184000034195,0.01897390679968521,21.85569953918457,0.01968088254565373,21.921669006347656,2000
random L=16 V=8 s=1.0,jax_gibbs,16,8,50,88.73839500010945,0.020843444035388528,21.98855209350586,0.01968088254565373,21.921669006347656,2000
random L=16 V=8 s=1.0,ffbs_at_jax_gibbs_time,16,8,50,88.73839500010945,0.10147323443776589,21.16543960571289,0.01968088254565373,21.921669006347656,88
random L=16 V=8 s=1.0,ffbs_at_thrml_gibbs_time,16,8,50,127.49184000034195,0.08191509896728565,21.761066436767578,0.01968088254565373,21.921669006347656,126
random L=16 V=8 s=1.0,thrml_gibbs,16,8,100,254.9836800006839,0.022901523353299133,21.95417594909668,0.01968088254565373,21.921669006347656,2000
random L=16 V=8 s=1.0,jax_gibbs,16,8,100,177.4767900002189,0.017237673556199304,21.799251556396484,0.01968088254565373,21.921669006347656,2000
random L=16 V=8 s=1.0,ffbs_at_jax_gibbs_time,16,8,100,177.4767900002189,0.05866650141260055,21.617427825927734,0.01968088254565373,21.921669006347656,175
random L=16 V=8 s=1.0,ffbs_at_thrml_gibbs_time,16,8,100,254.9836800006839,0.05434999899247602,21.98298454284668,0.01968088254565373,21.921669006347656,252
random L=16 V=8 s=1.0,thrml_gibbs,16,8,200,509.9673600013678,0.019968127572676162,21.97602081298828,0.01968088254565373,21.921669006347656,2000
random L=16 V=8 s=1.0,jax_gibbs,16,8,200,354.9535800004378,0.020669821016723287,21.82303237915039,0.01968088254565373,21.921669006347656,2000
random L=16 V=8 s=1.0,ffbs_at_jax_gibbs_time,16,8,200,354.9535800004378,0.05781269636069175,22.00489616394043,0.01968088254565373,21.921669006347656,351
random L=16 V=8 s=1.0,ffbs_at_thrml_gibbs_time,16,8,200,509.9673600013678,0.03119602186433483,22.02237319946289,0.01968088254565373,21.921669006347656,504
random L=16 V=8 s=1.0,thrml_gibbs,16,8,500,1274.9184000034195,0.01849040601449087,21.813661575317383,0.01968088254565373,21.921669006347656,2000
random L=16 V=8 s=1.0,jax_gibbs,16,8,500,887.3839500010945,0.019673243880504742,21.886005401611328,0.01968088254565373,21.921669006347656,2000
random L=16 V=8 s=1.0,ffbs_at_jax_gibbs_time,16,8,500,887.3839500010945,0.028697156446227674,21.867481231689453,0.01968088254565373,21.921669006347656,877
random L=16 V=8 s=1.0,ffbs_at_thrml_gibbs_time,16,8,500,1274.9184000034195,0.026093830840037552,22.13782501220703,0.01968088254565373,21.921669006347656,1260
random L=32 V=16 s=1.0,thrml_gibbs,32,16,1,1.0526416999831174,0.14028264554608905,69.62454986572266,0.02924681900521682,62.452064514160156,2000
random L=32 V=16 s=1.0,jax_gibbs,32,16,1,0.9813504999813935,0.14279286358675747,69.71224975585938,0.02924681900521682,62.452064514160156,2000
random L=32 V=16 s=1.0,ffbs_at_jax_gibbs_time,32,16,1,0.9813504999813935,0.7757315000471863,72.47157287597656,0.02924681900521682,62.452064514160156,2
random L=32 V=16 s=1.0,ffbs_at_thrml_gibbs_time,32,16,1,1.0526416999831174,0.7316292905288719,60.775611877441406,0.02924681900521682,62.452064514160156,2
random L=32 V=16 s=1.0,thrml_gibbs,32,16,2,2.105283399966235,0.06365289428264077,64.74881744384766,0.02924681900521682,62.452064514160156,2000
random L=32 V=16 s=1.0,jax_gibbs,32,16,2,1.962700999962787,0.06244918244313158,64.66988372802734,0.02924681900521682,62.452064514160156,2000
random L=32 V=16 s=1.0,ffbs_at_jax_gibbs_time,32,16,2,1.962700999962787,0.6023426039009792,58.88056945800781,0.02924681900521682,62.452064514160156,4
random L=32 V=16 s=1.0,ffbs_at_thrml_gibbs_time,32,16,2,2.105283399966235,0.5815225693524553,62.21230697631836,0.02924681900521682,62.452064514160156,5
random L=32 V=16 s=1.0,thrml_gibbs,32,16,5,5.263208499915587,0.02935975861425686,62.75973892211914,0.02924681900521682,62.452064514160156,2000
random L=32 V=16 s=1.0,jax_gibbs,32,16,5,4.906752499906967,0.03219103113633173,62.82305908203125,0.02924681900521682,62.452064514160156,2000
random L=32 V=16 s=1.0,ffbs_at_jax_gibbs_time,32,16,5,4.906752499906967,0.4179344554064301,61.520050048828125,0.02924681900521682,62.452064514160156,10
random L=32 V=16 s=1.0,ffbs_at_thrml_gibbs_time,32,16,5,5.263208499915587,0.4048231891523425,62.18941116333008,0.02924681900521682,62.452064514160156,11
random L=32 V=16 s=1.0,thrml_gibbs,32,16,10,10.526416999831174,0.027688656869097026,62.7769889831543,0.02924681900521682,62.452064514160156,2000
random L=32 V=16 s=1.0,jax_gibbs,32,16,10,9.813504999813935,0.02769656796012714,62.543479919433594,0.02924681900521682,62.452064514160156,2000
random L=32 V=16 s=1.0,ffbs_at_jax_gibbs_time,32,16,10,9.813504999813935,0.2708683008485899,61.45563888549805,0.02924681900521682,62.452064514160156,21
random L=32 V=16 s=1.0,ffbs_at_thrml_gibbs_time,32,16,10,10.526416999831174,0.2679069498073817,60.45875549316406,0.02924681900521682,62.452064514160156,23
random L=32 V=16 s=1.0,thrml_gibbs,32,16,20,21.052833999662347,0.02881953586048621,62.559173583984375,0.02924681900521682,62.452064514160156,2000
random L=32 V=16 s=1.0,jax_gibbs,32,16,20,19.62700999962787,0.02989979127106198,62.77339172363281,0.02924681900521682,62.452064514160156,2000
random L=32 V=16 s=1.0,ffbs_at_jax_gibbs_time,32,16,20,19.62700999962787,0.2069547946603485,63.30873489379883,0.02924681900521682,62.452064514160156,42
random L=32 V=16 s=1.0,ffbs_at_thrml_gibbs_time,32,16,20,21.052833999662347,0.17660773283775294,60.80092239379883,0.02924681900521682,62.452064514160156,45
random L=32 V=16 s=1.0,thrml_gibbs,32,16,50,52.63208499915587,0.029558975723644833,62.44718551635742,0.02924681900521682,62.452064514160156,2000
random L=32 V=16 s=1.0,jax_gibbs,32,16,50,49.067524999069676,0.029030946274855522,62.52126693725586,0.02924681900521682,62.452064514160156,2000
random L=32 V=16 s=1.0,ffbs_at_jax_gibbs_time,32,16,50,49.067524999069676,0.13051750804916082,62.468780517578125,0.02924681900521682,62.452064514160156,105
random L=32 V=16 s=1.0,ffbs_at_thrml_gibbs_time,32,16,50,52.63208499915587,0.1268682493119797,62.752418518066406,0.02924681900521682,62.452064514160156,113
random L=32 V=16 s=1.0,thrml_gibbs,32,16,100,105.26416999831174,0.02844349497386429,62.4547233581543,0.02924681900521682,62.452064514160156,2000
random L=32 V=16 s=1.0,jax_gibbs,32,16,100,98.13504999813935,0.030256891054727023,62.49616241455078,0.02924681900521682,62.452064514160156,2000
random L=32 V=16 s=1.0,ffbs_at_jax_gibbs_time,32,16,100,98.13504999813935,0.0929069300736349,62.25162887573242,0.02924681900521682,62.452064514160156,210
random L=32 V=16 s=1.0,ffbs_at_thrml_gibbs_time,32,16,100,105.26416999831174,0.09109666416022971,61.81988525390625,0.02924681900521682,62.452064514160156,225
random L=32 V=16 s=1.0,thrml_gibbs,32,16,200,210.5283399966235,0.031577969467922226,62.74290084838867,0.02924681900521682,62.452064514160156,2000
random L=32 V=16 s=1.0,jax_gibbs,32,16,200,196.2700999962787,0.03017946930708422,62.725616455078125,0.02924681900521682,62.452064514160156,2000
random L=32 V=16 s=1.0,ffbs_at_jax_gibbs_time,32,16,200,196.2700999962787,0.06097445876780728,62.8997917175293,0.02924681900521682,62.452064514160156,420
random L=32 V=16 s=1.0,ffbs_at_thrml_gibbs_time,32,16,200,210.5283399966235,0.06689735464802651,62.37287521362305,0.02924681900521682,62.452064514160156,450
random L=32 V=16 s=1.0,thrml_gibbs,32,16,500,526.3208499915587,0.028270395487241327,62.73981475830078,0.02924681900521682,62.452064514160156,2000
random L=32 V=16 s=1.0,jax_gibbs,32,16,500,490.6752499906967,0.028248094259775827,62.80493927001953,0.02924681900521682,62.452064514160156,2000
random L=32 V=16 s=1.0,ffbs_at_jax_gibbs_time,32,16,500,490.6752499906967,0.03867592258662016,62.76190185546875,0.02924681900521682,62.452064514160156,1049
random L=32 V=16 s=1.0,ffbs_at_thrml_gibbs_time,32,16,500,526.3208499915587,0.038199633854375054,62.77473831176758,0.02924681900521682,62.452064514160156,1125
random L=64 V=27 s=1.0,thrml_gibbs,64,27,1,1.4743140333254512,0.13878911920754763,164.96372985839844,0.03988461874230416,149.30380249023438,2000
random L=64 V=27 s=1.0,jax_gibbs,64,27,1,1.1743512332905084,0.1396198131218698,165.2683868408203,0.03988461874230416,149.30380249023438,2000
random L=64 V=27 s=1.0,ffbs_at_jax_gibbs_time,64,27,1,1.1743512332905084,0.8086762970069685,142.56594848632812,0.03988461874230416,149.30380249023438,2
random L=64 V=27 s=1.0,ffbs_at_thrml_gibbs_time,64,27,1,1.4743140333254512,0.7600140555174828,148.46847534179688,0.03988461874230416,149.30380249023438,3
random L=64 V=27 s=1.0,thrml_gibbs,64,27,2,2.9486280666509024,0.07002113497317623,154.2621307373047,0.03988461874230416,149.30380249023438,2000
random L=64 V=27 s=1.0,jax_gibbs,64,27,2,2.348702466581017,0.07028037814779237,154.53121948242188,0.03988461874230416,149.30380249023438,2000
